Player,Nation,Pos,DF,FW,MF,GK,Squad,Top5,Bot5,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1-Mar,PPA,CrsPA,Prog,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Performance PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
D. Okidi,Leoneku Guidisia,MF,0,0,1,0,Old Mustangs,No,No,33,1987,1.47,0.02,0.01,0.01,0,0.07,0,0,0,0,0,0,-0.05,0.05,-0.01,0,-0.02,-0.06,40.03,45.37,88.19,790.74,121.93,13.97,14.73,95.55,19.26,20.78,93.45,6.57,8.65,76.84,-0.08,0.08,0.09,0.02,2.64,0.02,-0.05,0.6,1.4,1.35,0.61,0.66,-0.08,0.64,0.74,99.98,0.02,16.06,5.95,37.48,12.71,2.59,0.66,2.6,0.68,0,1.92,2.01,3.37,1.96,0,,,,,,,,,,,,,,,,,,,
H. Tan,Leoneku Guidisia,MF,0,0,1,0,Old Mustangs,No,No,25,1995,3.02,0.01,0.37,0.36,99.96,0.4,0.26,-0.04,0.03,18.99,0.04,-0.1,-0.05,0,0.03,-0.04,-0.09,0.02,47.38,52.98,89.21,838.61,209.67,21.7,24.32,89,18.9,21,90.4,6.07,5.99,100.03,-0.01,0.1,-0.06,0.6,4.05,0.62,0.32,3.03,1.63,0.37,0.6,0.03,0.98,0.92,1.32,75.01,0.4,15.25,2.64,17.41,6.27,7.36,1.59,1,-0.08,-0.05,1.01,3.33,5.01,0.26,-0.06,,,,,,,,,,,,,,,,,,,
T. Takada,Leoneku Guidisia,MF,0,0,1,0,Old Mustangs,No,No,27,1993,2.99,-0.05,0.75,0,-0.09,0.66,-0.03,-0.03,0,19.72,0,-0.08,-0.03,-0.03,0.08,0.01,-0.04,-0.07,27.74,34.28,80.61,443.4,109.71,13.04,15.21,84.83,12.97,15.1,86.63,1.41,2.32,57.09,0.07,0.25,-0.19,0.99,1.25,0.91,-0.08,2.6,3.3,2.37,2.6,0.73,-0.04,1.38,4.39,30.81,3.1,31.75,6.03,18.84,15.33,14.36,2.02,1.25,-0.01,-0.07,1.28,0.39,3.63,2.04,0.09,,,,,,,,,,,,,,,,,,,
U. Jonsson,Leoneku Guidisia,MF,0,0,1,0,Old Mustangs,No,No,29,1991,1.34,0.01,-0.09,0.04,0,0.06,0.03,0,0,0,0.05,-0.05,-0.07,-0.05,-0.01,0,0.01,0.1,31.56,40.06,78.76,593.8,97.64,11.46,11.54,99.93,15.36,19.94,76.97,4.71,7.02,66.77,0.05,0.01,0.07,0.09,0.69,-0.04,0.04,0.01,6.2,4.66,5.28,0.86,-0.03,1.49,2.34,66.79,0.7,35.33,7.67,21.65,22.29,12.26,0.74,1.44,-0.06,-0.06,1.62,4.64,10.72,1.48,-0.01,,,,,,,,,,,,,,,,,,,
F. ?ahin,Leoneku Guidisia,MFFW,0,0,1,0,Old Mustangs,No,No,30,1990,0.66,0.05,2.86,-0.05,0.03,2.92,0.09,-0.07,0,27.57,0,0.02,-0.09,0.04,0.05,-0.04,0.09,0.01,34.24,44.36,77.43,589.93,119.92,18.59,18.51,100.09,12.91,18.6,69.2,2.86,5.8,50.04,0.02,-0.08,0.03,-0.02,2.83,1.42,0.06,2.8,1.48,1.43,1.52,-0.08,0.08,-0.05,1.46,-0.09,1.38,29.92,8.53,28.53,7.11,18.68,4.2,0,0,-0.06,0.06,0.07,1.48,1.5,-0.09,,,,,,,,,,,,,,,,,,,
Aggregate,Leoneku Guidisia,,,,,,,No,,521,37859,33.23,0.24,14.14,1.31,139.02,13.56,1.02,0,0.98,142.77,-0.18,0.05,-0.26,0.61,0.7,0.23,0.27,-0.41,484.63,646.93,1301.14,8630.79,2770.58,224.38,254.66,1556.43,200.66,235.82,1335.86,56.25,118.41,816.74,0.54,0.62,-0.17,6.25,32.93,6.89,2.06,32.35,38.58,24.09,26.02,10.02,2.68,13.42,27.69,624.03,14.42,414.19,88.15,413.08,159.85,196.91,58.14,27.1,4.5,-0.09,22.96,28.15,65.76,41.51,-0.2,3.05,2.97,270.1,3.03,0.98,1.07,4.95,4.3,80.04,0.36,-0.1,0.64,0.27,33.33,0.28,-0.05,0.31,0.07,99.91
D. Chiwara,Manlisgamncent,DF,1,0,0,0,Old Mustangs,No,No,25,1995,1.71,0,0.54,0.05,0,0.45,-0.01,0.01,0,25.25,-0.04,0.09,0.09,0.07,0.01,-0.02,-0.03,-0.1,42.25,50.53,83.55,715.63,169.41,19.96,21.15,94.69,15.02,16.68,89.94,4.38,8.8,49.93,0.03,0.09,0.1,-0.06,0.04,0.6,0.61,3.42,0.01,-0.08,-0.09,-0.02,0.01,0.04,0.58,-0.05,0.52,7.25,1.76,23.07,4.49,2.25,0.56,0.49,-0.07,-0.08,0.62,1.14,1.19,0.48,-0.05,,,,,,,,,,,,,,,,,,,
F. Kawala,Manlisgamncent,DF,1,0,0,0,Old Mustangs,No,No,19,2002,4.03,0.07,0.69,0.74,99.91,0.82,0.64,-0.09,0,15.21,-0.09,0.07,-0.02,0.14,0.1,0.18,-0.03,-0.05,42.5,50.9,83.23,723.76,282.07,20.98,22.8,91.47,15.84,18.03,87.74,4.12,7.24,56.61,-0.05,0.09,0.03,0.31,1.74,1.43,0.4,3.96,2.25,1.22,0.93,1.04,0.14,0.55,1.39,33.38,0.92,19.73,6.85,34.55,9.51,8.28,1.87,3.13,0.25,-0.06,3.02,2.38,4.57,2.15,0.01,,,,,,,,,,,,,,,,,,,
G. Kintu,Manlisgamncent,DF,1,0,0,0,Old Mustangs,No,No,29,1992,2,-0.06,-0.09,0.04,0,0.02,0.01,0,0,0,-0.05,0.04,-0.09,0.04,0,0,-0.05,0.09,44.97,59.06,76.37,767.95,309.05,23.05,24.97,91.98,15.9,19.47,82.01,5.08,11.43,43.53,0.1,0.02,-0.04,0.56,2.07,0.98,0.6,2.55,3,1.59,1.4,1.45,0.09,0.99,1.08,99.99,-0.05,19.58,6,30.72,12.48,4.56,2.54,2.46,0.48,-0.06,2.09,2.05,4.91,4.05,-0.09,,,,,,,,,,,,,,,,,,,
M. Apolot,Manlisgamncent,DF,1,0,0,0,Punctual Rustlers,No,No,28,1992,0.2,-0.09,-0.06,-0.07,0,0.04,0.05,0,0,0,-0.08,-0.03,-0.06,0.07,-0.02,0,0,-0.06,59.9,75.01,79.92,939.99,584.97,30.07,39.99,75.08,30.07,29.96,99.93,-0.02,5.07,-0.02,-0.05,0,0.02,-0.09,-0.04,-0.06,0,-0.01,-0.07,-0.06,-0.07,0.05,-0.08,-0.04,4.91,0.07,5.03,9.92,9.95,100.01,4.95,0.01,4.96,-0.02,-0.02,-0.05,0.09,5.09,4.92,14.96,0.04,,,,,,,,,,,,,,,,,,,
M. Tseu,Manlisgamncent,DF,1,0,0,0,Punctual Rustlers,No,No,24,1996,2.38,-0.09,-0.06,0.01,0,0.02,0.01,0,0,0,0.09,-0.04,0.09,0.04,-0.02,0,-0.07,0.06,39.02,42.17,92.77,918.73,289.13,11.79,12.16,96.44,17.81,17.78,99.91,9.66,11.39,84.62,-0.05,-0.04,0.06,0.03,1.35,0.41,-0.1,0.87,1.75,0.88,1.27,0.45,0.07,0.86,1.29,66.69,0.36,12.19,3,24.93,8.18,3.46,0.47,0.04,0.06,0.06,-0.03,1.66,3.41,4.76,-0.01,,,,,,,,,,,,,,,,,,,
Q. Achom,Manlisgamncent,DF,1,0,0,0,Punctual Rustlers,No,No,31,1989,2.05,0.06,0.49,-0.07,-0.04,0.59,-0.09,-0.05,0,27.01,-0.02,-0.09,0.5,0.08,0.03,0.03,0.01,-0.1,49.96,56.93,87.71,1158.06,310.58,11.42,11.53,100.07,26.08,28.48,91.12,12.45,16.44,75.82,0.08,-0.07,-0.05,0.1,0.98,0.04,-0.04,2,-0.02,-0.05,0,-0.05,0.1,0.1,-0.1,0,-0.06,3.99,1.91,50.01,2.48,1.49,-0.04,1.99,0.98,0.04,1.07,-0.09,0,8.47,-0.04,,,,,,,,,,,,,,,,,,,
Z. Ado,Manlisgamncent,DF,1,0,0,0,Punctual Rustlers,No,No,31,1989,4.25,0.08,0.09,-0.02,0,-0.1,-0.02,0,0,0,-0.05,0,0.07,0.05,-0.05,0,0,-0.1,38.09,40.75,93.66,756.23,250.58,11.15,12.28,90.53,22.1,22.39,99.02,4.67,5.41,86.96,-0.09,-0.07,0.05,0.08,0.95,-0.07,0.1,0.74,0.28,0.19,0.3,-0.09,-0.02,0.31,0.55,50.01,0.29,6.05,1.59,26.85,3.66,2.38,-0.05,0.94,0.7,0.09,0.17,1.89,2.09,3.69,0.09,,,,,,,,,,,,,,,,,,,
F. Cheah,Manlisgamncent,FW,0,1,0,0,Punctual Rustlers,No,No,28,1992,0.52,1.62,3.27,1.72,49.92,3.32,1.6,0.58,0.98,9.4,0,0.08,0.03,1.71,1.7,0.56,0.01,-0.08,13.34,25.03,53.25,198.27,100.08,10.09,13.26,74.92,1.74,4.99,33.35,1.66,5.02,33.28,1.74,0.53,1.08,3.31,3.31,1.73,1.61,3.3,0.09,-0.01,-0.07,-0.1,-0.02,0.04,0,0,0.02,19.95,3.26,16.65,1.58,11.66,6.57,3.41,0.08,0.09,3.24,1.71,1.69,-0.08,-0.06,,,,,,,,,,,,,,,,,,,
G. Muleya,Manlisgamncent,FW,0,1,0,0,Punctual Rustlers,No,No,27,1993,2.17,0.04,2.22,0.53,19.94,2.31,0.5,-0.05,-0.04,18.63,0.04,0.04,-0.09,0.17,0.18,0,-0.28,-0.24,10.5,19.44,53.58,144.55,32.79,6.74,9.95,68.24,3.66,6.35,57.13,0.03,1.33,0.03,-0.06,-0.01,-0.03,0.41,1.29,0.42,-0.07,0.97,1.78,1.33,0.92,0.45,0.49,0.97,0.83,99.92,-0.08,34.59,7.77,22.41,3.59,16.45,14.54,1.32,-0.06,-0.01,1.26,0.35,2.27,1.36,0.04,,,,,,,,,,,,,,,,,,,
I. Šari?,Manlisgamncent,FW,0,1,0,0,Punctual Rustlers,No,No,26,1994,1.88,0.05,1.11,0.04,0.05,1.13,0.06,-0.07,0,12.49,-0.01,-0.07,0.06,0.17,0.09,0.02,-0.21,-0.04,19.97,27.83,71.73,261.66,39.44,14.24,17.33,81.8,4.78,5.32,89.91,0.6,2.17,24.99,-0.01,-0.05,-0.07,0.62,1.67,0.54,0.03,1.61,0.43,0.62,0.08,0.03,0.54,-0.03,0.05,0,-0.02,15.27,3.6,24.16,1.08,8.44,5.77,0.96,0.6,-0.07,0.61,1.02,1.52,1.55,-0.09,,,,,,,,,,,,,,,,,,,
R. Kato,Manlisgamncent,FW,0,1,0,0,Punctual Rustlers,No,No,31,1989,2.94,0.73,2.35,1.08,42.89,2.38,1.06,0.32,0.61,17.74,0.07,0.04,0,0.12,0.17,0.03,0.66,0.58,24.5,34.07,71.79,409.96,127.99,13.87,15.84,87.08,7.98,10.26,76.71,2.39,5.79,41.25,0.36,0.26,0.04,2.37,1.68,1.07,0.43,2.83,1.31,0.78,0.61,0.43,0.31,0.26,1.77,19.94,1.36,20.28,3.04,15.33,3.46,9.02,7.83,1.06,0.31,-0.01,0.61,1.36,2.73,1.32,0.07,,,,,,,,,,,,,,,,,,,
F. Blanco,Manlisgamncent,FWDF,0,1,0,0,Punctual Rustlers,No,No,22,1998,1.37,-0.09,0.01,-0.04,0,-0.1,-0.04,0,0,0,-0.04,-0.01,0.04,-0.06,0.02,0,0.08,-0.01,27.67,34.68,79.91,525.4,93.85,11.49,13.14,88.19,11.52,14.59,78.89,3.82,4.54,83.38,-0.01,0.19,-0.27,0.85,0.68,-0.04,-0.08,1.61,2.39,0.86,0.74,1.61,-0.06,-0.07,1.48,0.03,1.56,26.26,8.42,32.44,10.78,10.05,5.33,0.86,-0.06,0.02,0.76,1.51,3.92,-0.08,0.05,,,,,,,,,,,,,,,,,,,
C. Soto,Manlisgamncent,FWMF,0,1,0,0,Punctual Rustlers,No,No,22,1998,0.79,-0.08,1.5,-0.02,0.02,1.41,0.04,-0.04,0,25.02,-0.02,0.06,0.01,-0.03,0.03,0.03,0.05,0,27.01,35.61,75.92,408.52,104.34,15.72,20,78.62,9.98,12.86,77.73,1.5,1.38,99.99,0.04,-0.03,-0.09,0.1,1.47,-0.08,-0.04,1.5,1.37,-0.03,1.42,0.07,-0.08,-0.04,1.51,-0.07,1.4,28.5,2.93,9.92,11.48,12.82,4.37,1.49,0.06,0.05,1.44,1.47,2.87,0.04,-0.01,,,,,,,,,,,,,,,,,,,
H. Mbabazi,Manlisgamncent,FWMF,0,1,0,0,Punctual Rustlers,No,No,23,1997,2.24,0.46,1.23,0.5,33.21,1.3,0.52,0.41,0.94,10.6,0.09,0.08,-0.09,0.2,0.13,0.15,0.17,0.26,20.95,24.22,85.73,261.32,50.85,14.37,15.6,91.64,4.81,7.05,68.83,0.5,0.48,100.04,-0.05,0.14,-0.29,0.86,1.32,-0.07,0.03,1.77,1.4,0.42,0.33,0.84,0.09,0.49,0.88,50.02,0.48,23.53,6.45,27.81,3.93,11.28,8.21,0.39,-0.05,0.04,0.37,0.89,2.13,1.23,-0.1,,,,,,,,,,,,,,,,,,,
J. Jørgensen,Manlisgamncent,FWMF,0,1,0,0,Punctual Rustlers,No,No,25,1995,0.55,1.95,3.96,2.06,50.02,3.75,1.96,0.52,0.95,11,0.07,-0.08,0.05,0.53,0.58,0.13,1.32,1.44,48.07,49.9,96,793.99,202,20.1,20.01,100.02,23.98,24.04,100.01,1.91,3.94,50.09,0.08,1.1,-1.22,4,3.96,2.08,0.04,8.06,4.02,4.03,0.04,1.96,2.1,-0.04,0.07,0,-0.05,17.98,3.92,22.22,-0.09,10.03,7.93,0.1,0,0.01,-0.01,4.09,8,-0.08,0.07,,,,,,,,,,,,,,,,,,,
Z. Davies,Manlisgamncent,FWMF,0,1,0,0,Punctual Rustlers,No,No,29,1991,2.4,-0.08,1.59,0.72,49.96,1.61,0.7,0.05,0.07,18.89,0.02,-0.06,0.03,0.32,0.17,0.16,-0.3,-0.24,21.94,24.83,88.79,349.63,37.15,12.38,12.72,96.8,5.23,6.34,81.31,3.52,4.06,90.06,0.41,0.09,0.45,0.71,0.84,0.78,0.49,0.45,0.07,0.02,0.02,0.09,0.05,-0.08,0.83,0.01,0.8,21.27,4.31,20.75,4.07,10.01,7.15,0.79,-0.02,-0.02,0.84,0.05,0.09,1.14,0.04,,,,,,,,,,,,,,,,,,,
E. Jew,Manlisgamncent,GK,0,0,0,1,Punctual Rustlers,No,No,26,1995,4.28,-0.07,0.03,-0.06,0,0.03,-0.08,0,0,0,0.02,0.08,0.06,0.03,-0.04,0,0.05,-0.08,23.01,30.66,75.1,653.28,390.49,4.78,5.03,95.45,9.97,9.91,99.95,7.92,15.22,51.57,-0.1,-0.07,0,0.04,0.31,-0.05,0.07,-0.03,-0.01,-0.09,-0.03,-0.06,-0.04,-0.02,-0.02,0,-0.07,0.29,-0.06,-0.06,0.31,-0.07,-0.09,-0.09,0.01,0.03,-0.08,0.05,-0.04,0.19,-0.07,4.06,4.1,390.08,4.34,1.93,1.78,3.43,1.89,53.25,0.22,0.26,0.54,0.01,0.1,0.23,0.27,-0.07,-0.07,0.1
B. Yang,Manlisgamncent,MF,0,0,1,0,Punctual Rustlers,No,No,29,1991,0.47,-0.04,4.08,0.06,0.05,4.23,0.06,-0.08,0,9.59,0.08,0.06,-0.01,1.82,1.88,0.51,-1.83,-1.84,11.92,13.95,85.72,195.99,60.04,3.99,6.06,66.71,6.07,6.08,99.96,2.01,2.08,100.01,-0.04,-0.09,-0.07,0.07,4.04,0.05,-0.07,1.91,2.05,-0.03,0.03,-0.02,1.98,0.04,0.05,0,-0.03,14,-0.03,-0.08,2,2.01,9.95,0.09,0.08,-0.01,0.05,-0.01,2.02,1.91,0.02,,,,,,,,,,,,,,,,,,,
C. Nangobi,Manlisgamncent,MF,0,0,1,0,Punctual Rustlers,No,No,35,1985,4.38,0.27,0.72,0.63,99.99,0.79,0.72,0.31,0.37,25.99,0.06,-0.03,-0.02,0.07,0.11,0.03,0.11,0.17,58.17,67.78,85.91,1160.93,339.09,24.74,27.35,89.86,22.1,23.24,95.08,9.92,14.09,71.74,0.19,0.16,0.18,1.38,5.19,1.01,0.15,4.73,0.83,0.47,0.69,0.29,0,-0.09,-0.01,0,0.06,17.75,5.44,30.36,5.57,9.92,2.12,0.75,0.3,-0.03,0.55,1.78,2.86,0.32,0.01,,,,,,,,,,,,,,,,,,,
C. Nyesiga,Manlisgamncent,MF,0,0,1,0,Punctual Rustlers,No,No,26,1994,3.89,-0.09,1.11,0.3,25.02,1.1,0.2,0.02,0.09,24.88,0.05,0.1,0,0.05,0.01,0.06,-0.09,-0.04,51.11,57.14,89.32,914.9,206.27,21.75,23.9,91.14,22.64,23.71,95.64,4.7,6.9,69.21,0.18,0.03,0.14,1.01,3.15,0.53,0.08,4.38,1.33,1.24,1.14,0.32,0.06,0.49,0.79,66.61,0.19,21.33,4.91,23.52,6.78,12.96,1.61,0.36,0.05,0.01,0.33,1.52,2.96,1,-0.05,,,,,,,,,,,,,,,,,,,
Z. Griffiths,Manlisgamncent,MF,0,0,1,0,Punctual Rustlers,No,No,28,1992,3.04,-0.02,0.37,-0.08,-0.06,0.41,-0.02,0.03,0,21.03,-0.02,-0.04,0.07,-0.01,0.04,-0.01,0.06,-0.03,61.5,68.48,90.19,1198.94,278.76,27.08,28.09,96.65,22.8,26.6,86.6,11.36,12.67,89.69,0.01,0.07,0.04,0.95,3.61,0.56,-0.05,2.61,1.02,-0.07,0.24,0.68,0.01,0.35,2.18,14.28,1.93,25.25,4.6,17.98,11.21,11.4,2.49,0.29,0.04,-0.01,0.29,1.69,2.59,1.2,0.03,,,,,,,,,,,,,,,,,,,
Aggregate,Manlisgamncent,,,,,,,No,,564,41859,47.54,4.62,25.15,8.12,470.88,25.51,7.87,1.87,3.97,272.73,0.17,0.29,0.72,5.58,5.12,1.86,-0.37,-0.41,736.35,888.97,1700.15,13457.69,4258.93,329.76,373.16,1847.38,300.08,334.13,1790.77,92.18,145.45,1302.78,2.71,2.34,0.06,17.61,39.61,11.86,4.19,49.23,25.28,13.23,9.9,9.42,5.74,5.08,20.11,500.83,14.56,364.96,89.62,553.55,111.5,158.41,94.09,20.81,3.72,0.03,17.29,31.6,56.7,49.58,-0.1,4.06,4.1,390.08,4.34,1.93,1.78,3.43,1.89,53.25,0.22,0.26,0.54,0.01,0.1,0.23,0.27,-0.07,-0.07,0.1
C. Popescu,Mico,DF,1,0,0,0,Punctual Rustlers,Yes,No,31,1989,2.91,0.07,1.27,0.68,49.93,1.29,0.6,-0.09,0.02,18.49,-0.05,-0.02,0.07,0.04,0.02,0.04,-0.02,-0.04,56.06,70.03,80.07,924.04,397.32,29.71,31.74,93.76,22.08,26.72,82.57,4.08,9.63,41.31,-0.01,-0.03,0.02,1.64,3.33,2.06,0.35,6.3,3.07,0.74,1.98,0.69,0.34,1.73,2.6,62.53,0.93,9.62,1.23,13.76,3,4.29,2.36,1.02,0.08,-0.01,1.03,1.27,4.33,2.6,0.07,,,,,,,,,,,,,,,,,,,
E. Nakayiza,Mico,DF,1,0,0,0,Punctual Rustlers,Yes,No,24,1996,0.61,0.04,1.46,0,0,1.44,0.1,0.06,0,5.79,-0.1,0.08,-0.08,0.15,0.06,-0.03,-0.21,-0.05,51.41,54.24,94.67,1105.68,401.3,17.02,17.02,99.94,24.26,24.27,100.01,10.09,12.87,77.88,0.02,0.09,-0.05,0.06,7.06,1.41,0.06,7.17,-0.05,-0.02,-0.06,-0.01,0,-0.1,4.31,0.01,4.26,27.11,4.3,15.84,20.1,4.31,2.9,4.24,0.07,-0.05,4.37,-0.06,0.04,8.57,0.06,,,,,,,,,,,,,,,,,,,
V. It?,Mico,DF,1,0,0,0,Punctual Rustlers,Yes,No,31,1989,5.82,0.05,0.31,0.25,50.03,0.36,0.18,-0.03,0.04,5.51,0.06,-0.09,0.01,0.19,0.09,0.32,-0.04,-0.11,39.83,44.64,89.1,901.2,278.18,10.21,10.72,93.76,22.27,23.67,94.13,6.93,9.92,70.74,0.07,0.02,0,0.19,2.77,0,0.08,2,2.24,0.83,1.27,1.06,-0.01,0.43,0.42,100.06,0.06,9.2,3.85,42.65,5.16,3.89,0.11,0.93,0.59,0.08,0.42,1.11,3.36,6.21,-0.07,,,,,,,,,,,,,,,,,,,
W. Twinamatsiko,Mico,DF,1,0,0,0,Punctual Rustlers,Yes,No,28,1992,5.36,-0.05,1.09,0.43,33.26,1.03,0.32,-0.02,0.09,11.47,-0.05,0.08,0.03,0.02,0.06,0.13,-0.14,-0.07,40.82,46.71,87.73,844.01,282.14,15.2,16.68,91.16,18.97,19.65,96.24,6.38,9.47,66.68,0.05,0.01,-0.13,0.45,3.18,0.06,-0.06,2.09,1.63,1.34,0.95,0.58,0.11,0.91,2.06,45.54,1.07,6.7,2.71,41.61,3.39,3.23,0.16,1.92,0.67,-0.02,1.09,1.92,3.58,5.68,-0.02,,,,,,,,,,,,,,,,,,,
X. Kho,Mico,DF,1,0,0,0,Punctual Rustlers,Yes,No,23,1997,6.25,0.39,1.61,1.11,70.06,1.58,1.09,0.14,0.32,15.1,0.09,-0.05,0.04,0.16,0.16,0.03,0.18,0.2,45.02,52.95,85.08,690.48,250.87,24.46,26.69,91.66,17.7,20.69,86.17,2.1,3.36,61.96,0.13,0.18,0.16,0.99,2.33,1.34,0.23,4.33,1.98,1.35,1.67,0.31,0.08,0.82,1.83,45.52,0.92,10.14,3.59,34.34,4.23,3.34,2.65,1.51,-0.07,0.03,1.38,1.48,3.59,1.81,0.09,,,,,,,,,,,,,,,,,,,
X. Munkuli,Mico,DF,1,0,0,0,Punctual Rustlers,Yes,No,28,1992,0.16,-0.06,-0.07,-0.05,0,-0.04,0.08,0,0,0,-0.09,0.07,0,0,0.03,0,0.01,0.03,20,25,80.05,280.03,94.98,15.01,20.04,75,5.08,5.04,100.07,0.01,-0.07,0,-0.06,0.03,-0.01,-0.05,-0.04,-0.07,0.06,-0.07,0.03,0.09,-0.06,-0.09,0.05,0.05,0.01,0,-0.08,-0.02,-0.09,0,0.02,0.03,0.04,0.05,0.02,-0.09,0.01,0.01,-0.09,-0.01,0.09,,,,,,,,,,,,,,,,,,,
Y. Eyotaru,Mico,DF,1,0,0,0,Silver Heels,Yes,No,24,1996,5.79,0.26,0.47,0.25,66.63,0.44,0.43,0.32,0.47,16.05,-0.08,0.09,-0.08,0.12,0.01,0.09,0.12,0.06,45.67,50.27,91.06,876.66,261.1,16.23,17.12,94.91,24.51,26.66,92.1,4.76,6.31,75.78,0.01,-0.08,-0.04,0.08,4.26,0.07,0.1,2.68,0.63,0.19,0.44,0.4,-0.06,0.28,0.68,50.09,0.34,7.58,1.89,25.07,2.67,4.21,0.66,1.06,0.24,0.03,0.63,1.61,2.32,4.21,-0.03,,,,,,,,,,,,,,,,,,,
Y. Gashi,Mico,DF,1,0,0,0,Silver Heels,Yes,No,29,1991,3.22,0.09,0.08,-0.04,0,-0.02,-0.07,0,0,0,0,0.05,-0.02,0.04,0.05,0,0.03,-0.02,42.25,59.19,71.39,789.43,377.44,19.33,21.28,91.17,15.81,19.77,80.96,6.6,17.12,38.18,0.29,0.38,0.04,2.18,1.26,1.63,1.29,4.34,0.57,0.67,0.38,0.04,0.24,0.1,-0.09,0,-0.01,7.16,2.8,39.11,4.1,2.52,0.59,1.5,0.37,0.05,1.26,1.16,1.94,3.51,-0.08,,,,,,,,,,,,,,,,,,,
L. Tembo,Mico,FW,0,1,0,0,Silver Heels,Yes,No,21,1999,0.85,0.06,4.37,1.11,25.01,4.6,1.14,-0.07,0.04,13.37,0.08,0.07,-0.03,0.33,0.4,0.07,-0.33,-0.24,18.99,19.91,94.35,342.1,77.74,11.16,11.02,99.99,3.39,4.44,75.03,3.4,3.41,100.05,-0.03,0.15,-0.16,2.27,2.26,2.12,0.09,3.38,1.13,0.05,0.02,1.02,-0.03,-0.03,0.09,0,-0.01,13.22,8.88,66.74,0.03,3.31,9.93,0.02,-0.03,0.01,0.06,0,1.19,1.12,-0.06,,,,,,,,,,,,,,,,,,,
N. Katusabe,Mico,FW,0,1,0,0,Silver Heels,Yes,No,27,1993,0.64,-0.07,5.8,1.43,24.98,5.97,1.56,0.05,-0.02,14.53,-0.09,-0.03,-0.01,0.32,0.26,0.02,-0.25,-0.23,27.03,38.58,70.5,459.99,68.58,15.79,18.65,84.62,7.11,9.99,71.38,2.84,7.1,40.03,1.44,0.33,0.98,2.8,1.45,1.51,-0.07,2.94,-0.05,0.02,0.09,0.04,0.04,0,-0.08,0,-0.09,11.34,4.21,37.51,0,7.09,4.34,0.08,-0.02,0.08,0.06,0,0.03,0.05,-0.09,,,,,,,,,,,,,,,,,,,
P. Khoh,Mico,FW,0,1,0,0,Silver Heels,Yes,No,23,1997,2.47,1.13,2.8,1.92,71.39,2.9,2.09,0.37,0.62,15.98,-0.02,0.06,0.09,0.23,0.4,0.2,0.82,0.96,15.17,19.67,77.63,189.58,19.24,10.35,12.87,81.33,2.78,3.53,77.75,0.75,1.55,49.99,-0.01,0.13,0.06,0.79,0.45,0.06,0.04,-0.09,0.7,0.49,0.06,0.81,0.1,0.09,0.01,0,0.07,11.1,2.09,17.87,0.46,6.07,4.9,1.24,0.01,0,1.12,-0.02,0.74,0.77,0.02,,,,,,,,,,,,,,,,,,,
X. James,Mico,FW,0,1,0,0,Silver Heels,Yes,No,26,1994,3.31,0.71,2.04,1.17,57,2.22,1.22,0.3,0.45,16.54,-0.07,0.07,0.05,0.37,0.5,0.18,0.12,0.12,20.03,29.61,67.27,267.38,61.73,13.59,16.74,81.82,3.69,7.37,49.97,1.12,2.65,44.35,0.04,0.08,-0.15,2.11,0.94,0.63,0.32,0.61,1.17,0.82,0.9,-0.09,0.38,0.29,2.1,14.25,1.73,20.01,5.43,27.25,3.38,7.35,9.36,0.82,-0.09,-0.07,0.85,0.25,1.52,0.88,-0.08,,,,,,,,,,,,,,,,,,,
M. Ogbonna,Mico,FWMF,0,1,0,0,Silver Heels,Yes,No,21,1999,0.41,0.09,0.02,-0.09,0,-0.07,-0.02,0,0,0,0,0.01,-0.06,-0.01,-0.02,0,0.04,-0.04,42.46,47.42,89.55,699.97,110.05,24.9,27.44,90.89,15,17.42,85.76,2.4,2.41,99.91,0.02,0.34,-0.33,2.42,2.44,0.01,0.01,2.46,2.54,-0.1,2.45,-0.01,0.07,2.49,2.46,99.97,0.06,12.55,2.51,19.96,4.96,5.03,2.58,2.54,2.4,2.49,0.09,-0.03,2.47,-0.02,0.1,,,,,,,,,,,,,,,,,,,
