Player,Nation,Pos,Squad,Tournament,In/Out,League,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Performance PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
M. Graham,Lefghau,MF,Coy Sunbirds,No,No,D,25,1994,26.92,0.07,1.34,0.37,25.65,1.23,0.29,0.03,-0.08,25.95,0.25,-0.04,0.09,0.02,-0.01,0.04,-0.08,-0.06,29.14,38.9,74.96,637.74,184.77,9.77,11.68,84.36,11.89,14.23,83.55,6.83,11.27,60.63,0.05,0.01,0.15,0.96,2.96,0.65,0.2,3.52,2.87,1.83,1.54,1.02,0.26,0.77,4.15,16.7,3.51,29.63,7.09,23.78,10.9,15.65,2.96,3.05,0.32,-0.04,2.62,1.04,3.82,2.04,-0.02,,,,,,,,,,,,,,,,,,,
I. Teoh,Sobianitedrucy,MF,Coy Sunbirds,No,Yes,D,31,1988,18.9,0.03,0.81,0.21,18.85,0.9,0.06,-0.02,0.3,19.33,-0.08,0.08,0.05,0.08,0.12,0.15,0.04,-0.09,21.38,27.78,77.2,382.01,101.42,9.28,11.15,83.24,9.59,11.02,86.58,2.12,4.39,48.78,0.09,0.18,0.07,0.8,1.64,0.23,0.03,1.89,2.6,1.83,1.04,0.99,0.37,0.72,2.54,28.27,1.8,24.11,5.7,23.55,11.4,9.61,3.24,2.21,0.22,0.02,1.88,0.44,3.04,1.93,-0.03,,,,,,,,,,,,,,,,,,,
K. bin Abu Bakar,Sobianitedrucy,MF,Coy Sunbirds,No,Yes,D,24,1995,7.18,0.14,1.2,0.32,25.07,1.03,0.21,0.22,0.51,20.02,0.03,-0.02,-0.03,0.13,0.02,0,0.08,0.04,30.55,36.09,84.79,537.23,153.08,14.82,16.53,89.87,11.73,13.41,86.56,2.94,4.24,69.97,0.21,0.13,0.06,0.77,2.98,0.47,0.22,2.19,1.46,1,0.81,0.61,0.02,0.49,1.55,36.34,1.04,15.49,4.9,32.19,5.4,6.82,3.08,2.18,0.55,0,1.75,2.24,3.67,1.36,-0.04,,,,,,,,,,,,,,,,,,,
S. Moradi,Sobianitedrucy,MF,Coy Sunbirds,No,Yes,D,31,1988,10.28,-0.04,0.31,0.11,25.03,0.33,0.09,-0.01,0.05,28.08,0.1,0.1,0.08,0.01,-0.06,0.12,-0.07,-0.08,37.97,47.98,79.06,862.96,242.29,11.49,12.61,90.78,16.44,18.58,88.32,9.49,15.5,60.95,0.25,0.19,0.18,1.19,3.97,0.57,0.11,3.79,2.06,1.4,1.02,0.84,0.21,0.93,2.76,34.44,1.92,16.82,3.76,22.85,8.21,7.24,1.45,2.72,1.2,0.08,1.44,1.72,3.83,3.25,-0.04,,,,,,,,,,,,,,,,,,,
B. Namazzi,Ledian,MFFW,Coy Sunbirds,Yes,No,D,32,1987,21.44,0.26,2.01,0.57,22.24,2,0.52,0.03,0.5,20.78,0.01,0.11,0.06,0.24,0.14,0.07,0.09,0.07,23.65,33.94,69.79,414.48,135.56,11.81,15.31,77.12,8.86,12.2,72.63,2.25,4.6,49.03,0.22,0.15,0.1,0.94,1.89,0.61,0.14,2.6,2.44,1.57,1.13,0.83,0.2,0.88,3.32,25.33,2.4,20.72,5.31,26.14,6.23,10.71,3.86,1.73,0.37,0.03,1.39,0.78,3.08,1.96,0,,,,,,,,,,,,,,,,,,,
Z. Buyinza,Saintu,MFFW,Coy Sunbirds,Yes,No,D,30,1989,18.58,0.06,1.32,0.45,29.28,1.29,0.32,0.04,0.2,25.04,-0.04,-0.1,-0.09,0.15,0.01,0.06,0.12,0.11,36.87,43.77,84.02,723.66,188.86,14.88,16.1,92.21,15.36,17.56,88.01,5.92,8.48,69.26,0.13,0.15,-0.02,1.15,2.79,0.99,0.46,3.7,2.07,1.07,1.34,0.66,0.14,0.9,2.57,34,1.59,18.01,4.33,24.3,6.61,8.09,3.25,1.55,0.37,0.1,1.39,0.44,2.5,1.59,-0.02,,,,,,,,,,,,,,,,,,,
F. Masango,Cabral Retrea,DF,Deranged Defenders,No,No,D,27,1992,1.11,0.09,0.01,-0.09,,-0.08,-0.05,,,,0.07,-0.04,0.04,-0.02,0.04,,-0.08,0.01,45.6,62.63,72.53,732.62,433.63,23.67,27.23,86.77,18.28,22.69,79.97,2.74,10.82,25.1,0.08,0.1,-0.16,1.92,2.77,3.73,2.72,5.41,1.87,1.87,0.84,0.9,-0.04,1.77,2.82,66.71,0.91,9.16,1.78,19.91,5.51,3.6,0.06,0.99,-0.05,-0.01,1,0,1.82,4.5,-0.01,,,,,,,,,,,,,,,,,,,
G. Ribeiro,Imaar Vircoand,DF,Deranged Defenders,No,No,D,26,1993,9.43,-0.09,0.53,0.06,0.01,0.35,-0.08,-0.01,,8.76,0.05,-0.09,0.04,0.07,-0.06,0.15,-0.05,0.02,41.03,47.06,87.06,871.35,316.24,12.14,12.98,94.29,21.85,23.72,91.53,6.5,8.9,72.5,0.04,-0.04,0.09,0.04,1.79,0.04,-0.09,2.94,1.05,0.53,0.87,0.14,-0.09,0.39,1.06,30.05,0.69,10.86,3.4,31.5,6.37,4.23,0.48,2.08,0.81,0.03,1.4,0.5,1.53,6.33,-0.09,,,,,,,,,,,,,,,,,,,
L. Zuki?,Naguayli,DF,Deranged Defenders,No,No,D,21,1998,-0.06,0.07,-0.09,-0.07,,-0.06,-0.07,,,,0.02,0.03,0.03,0.04,0.07,,-0.02,-0.07,1.07,1.91,49.96,30.93,7.02,-0.07,1.02,0.03,0.02,-0.02,,0.98,1.09,100.08,-0.08,0.06,-0.08,0.05,-0.09,-0.01,-0.1,-0.1,-0.02,0.02,-0.06,0.03,-0.03,0.09,-0.03,,-0.04,0.91,-0.07,0.01,0.02,-0.04,0.92,0.06,0.07,-0.09,0.04,0.06,0.09,-0.07,-0.07,,,,,,,,,,,,,,,,,,,
A. Mitrovi?,Sobianitedrucy,DF,Deranged Defenders,No,Yes,D,17,2001,-0.01,0.01,0.07,0.02,,-0.05,0.02,,,,0.02,-0.09,0.03,-0.1,0.01,,-0.08,0.1,4.06,4.09,100.03,69.95,25.08,2.05,1.93,100.06,1.97,1.95,100.01,-0.06,0.07,,0.05,-0.06,-0.04,-0.09,0,0.06,-0.07,2.07,-0.03,-0.03,0.04,0.06,-0.07,-0.03,-0.09,,0.07,0.09,0,,-0.07,-0.05,0.07,-0.06,-0.03,0,0.06,-0.07,0.01,-0.07,0.01,,,,,,,,,,,,,,,,,,,
A. Ninsiima,Sobianitedrucy,DF,Deranged Defenders,No,Yes,D,34,1985,25.08,0.06,0.06,0.01,0.03,0.08,-0.05,0.08,,11.42,-0.06,0.08,0.09,0.07,-0.09,0.03,-0.04,0.09,35.31,40.98,86.33,852.67,246.83,7.04,7.72,90.79,19.13,20.79,92.96,8.77,12.21,72.45,0.17,-0.03,-0.01,0.06,1.24,0.13,-0.09,1.26,0.92,0.56,0.63,0.23,-0.04,0.32,1.1,33.27,0.9,7.12,2.2,30.61,5.33,1.54,0.29,1.87,0.92,0.02,1.18,0.64,1.61,6.7,0.09,,,,,,,,,,,,,,,,,,,
E. Nilsson,Sobianitedrucy,DF,Deranged Defenders,No,Yes,D,23,1996,0.22,-0.07,-0.03,-0.03,,-0.09,-0.06,,,,-0.02,-0.04,0.09,0,0.05,,-0.01,0.05,9.97,14.97,66.67,279.98,250.1,0.04,0.07,,4.92,10.07,50.09,4.96,5.04,100,0.01,0,-0.04,-0.02,4.91,0.02,-0.02,5.09,0.08,-0.03,0.06,0.02,0.07,-0.07,14.94,0.05,14.94,9.93,-0.02,-0.03,4.95,4.94,0.06,0.05,0.08,0.05,0.05,-0.06,0.1,5.04,0.01,,,,,,,,,,,,,,,,,,,
E. Ow,Sobianitedrucy,DF,Deranged Defenders,No,Yes,D,25,1994,11.16,-0.03,0.04,-0.08,,-0.05,-0.07,,,,0.06,-0.07,-0.05,0.09,-0.06,,-0.09,0.02,39.57,49.64,79.91,796.84,307.67,12.54,14.65,85.59,20.73,24.16,85.97,5.69,8.92,63.35,0.15,0.13,0.12,0.49,2,1.12,0.81,3.4,2.62,1.5,2.12,0.36,0.23,0.88,1.51,58.85,0.65,10.48,3.29,31.46,5.56,3.12,1.67,1.75,0.63,0.1,1.27,1.08,3.56,3.21,0.02,,,,,,,,,,,,,,,,,,,
F. Rodriguês,Sobianitedrucy,DF,Deranged Defenders,No,Yes,D,28,1991,8.42,0.09,0.5,0.31,39.97,0.57,0.29,0.24,0.58,15.64,-0.04,0.06,0.01,0.01,-0.06,0.08,0.07,0.05,40.88,48.26,84.97,841.32,313.17,13.09,14.7,89.48,20.58,22.88,90.17,6.76,9.82,68.62,-0.05,-0.05,0.05,0.58,1.77,0.18,0.25,2.43,2.74,1.84,1.77,0.86,0.09,1.27,4.14,28.54,2.84,13.12,4.72,35.61,8.07,4.43,0.65,2.31,0.42,-0.06,1.75,1.18,3.86,3.15,0.06,,,,,,,,,,,,,,,,,,,
H. Arab,Sobianitedrucy,DF,Deranged Defenders,No,Yes,D,30,1988,21.13,-0.02,0.52,0.23,27.25,0.57,0.16,0.06,-0.01,24.7,-0.06,0.08,-0.08,0.11,-0.06,0.06,-0.12,0.01,39.73,51.61,76.84,732.12,331.99,17.16,18.79,91.62,16.84,20.71,81.4,4.89,9.85,50.24,-0.07,0.06,-0.02,0.69,2.05,1.07,0.78,3.2,1.37,0.96,0.59,0.65,0.17,0.87,1.92,45.04,1.08,9.39,2.38,24.85,4.66,3.67,1.1,2.8,0.43,-0.06,2.33,0.77,2.26,3.2,0.06,,,,,,,,,,,,,,,,,,,
I. Nuwamanya,Sobianitedrucy,DF,Deranged Defenders,No,Yes,D,31,1987,34.81,0.19,0.38,0.13,28.55,0.35,0.14,0.24,0.76,11.86,-0.04,-0.03,0.07,0.07,0,0.21,0.03,0.09,38.88,45.09,86.29,992.43,338.98,6.46,7.2,90.77,21.67,22.95,94.07,10.49,14.57,72.6,-0.05,-0.04,-0.09,0.07,1.93,0.05,0.06,2.45,1.13,0.77,0.83,0.27,0.03,0.22,0.84,31.39,0.59,7.36,2.5,32.88,5.05,2.07,0.25,1.89,1.16,0.04,0.85,0.85,1.96,5.6,0.02,,,,,,,,,,,,,,,,,,,
R. Amule,Sobianitedrucy,DF,Deranged Defenders,No,Yes,D,30,1989,22.86,0.17,0.95,0.26,21.75,1.1,0.3,0.12,0.66,24.57,0.09,0.01,-0.06,0,0.05,0.09,0.06,0.03,36.14,49.01,73.99,693.49,271.86,14.18,15.69,90.58,17.18,20.78,82.86,4.38,9.76,45.4,0.19,0.14,-0.03,0.98,1.83,1.4,0.92,3.46,1.92,1.34,1.3,0.73,0.09,0.99,2.04,47.74,0.99,15.1,3.76,25.1,7.55,5.67,1.76,2.59,0.49,-0.05,2.16,1.2,3.27,2.19,0,,,,,,,,,,,,,,,,,,,
T. Levy,Sobianitedrucy,DF,Deranged Defenders,No,Yes,D,29,1990,19.5,0.07,0.37,0.03,22.16,0.37,0.07,0.11,0.45,21.99,-0.05,0.06,-0.07,0.07,0,0.08,-0.02,0.11,43.42,50.88,85.62,825.12,317.8,18.3,19.96,91.77,19.3,21.29,90.84,5.2,8.02,64.78,0.04,0.02,-0.09,1.18,3.08,1.3,0.93,3.54,1.66,1.33,1.02,0.41,0.28,0.61,1.76,31.37,1.19,9.3,2.87,31.23,4.84,2.99,1.46,1.75,0.67,0.04,1.21,0.83,2.5,2.03,0.05,,,,,,,,,,,,,,,,,,,
R. Paris,Western Niasland,DFMF,Deranged Defenders,No,No,D,20,1999,1.61,-0.09,2.27,0.07,-0.1,2.41,0.06,0.05,,28.14,0.1,-0.09,0.03,0.01,0,0.05,-0.1,-0.12,34.03,45.85,74.38,648.29,217.54,15.33,18.88,81.24,15.83,17.55,90.03,2.9,6.45,45.41,0.56,0.1,0.56,1.77,1.26,0.57,0.66,1.8,3.43,2.42,1.79,1.18,0.61,1.68,2.44,74.99,0.57,34.06,7.74,22.35,17.1,9.95,6.96,2.44,0.02,-0.08,2.26,0.02,3.49,2.43,0,,,,,,,,,,,,,,,,,,,
T. Nasirumbi,Coastpa Barleslands,FW,Deranged Defenders,No,No,D,26,1993,15.89,0.11,3.04,0.99,34.02,2.98,0.98,0.15,0.25,15.58,0,0.01,0.05,0.34,0.26,0.19,-0.18,-0.11,14.11,19.44,73.46,208.72,34.03,8.91,10.68,83.93,3.78,5.22,74.5,0.86,1.44,54.22,-0.03,0.01,-0.09,0.67,0.72,0.52,-0.05,1.24,1,0.53,0.15,0.43,0.59,0.16,1.01,13.35,0.83,18.34,3.03,16.28,2.2,9.06,7.06,1.25,0.41,-0.02,0.76,0.15,1.21,1.87,-0.08,,,,,,,,,,,,,,,,,,,
I. Shoshan,Former Maneau,FW,Deranged Defenders,No,No,D,29,1990,19.72,0.6,2.99,0.98,34.92,2.94,0.96,0.22,0.47,13.2,0.01,0.11,0.05,0.61,0.55,0.09,0.05,-0.07,13.19,16.78,77.85,197.33,25.18,8.02,9.57,82.79,3.41,4.3,78.26,0.97,1.45,74.95,0.06,0.03,-0.11,1.12,0.54,0.38,0.07,0.87,1.06,0.74,0.31,0.42,0.1,0.23,0.71,30.8,0.54,16.51,3.28,19.67,2.09,7.37,6.81,0.19,0.1,-0.07,-0.03,-0.02,1.11,0.57,-0.06,,,,,,,,,,,,,,,,,,,
A. Makore,Sobianitedrucy,FW,Deranged Defenders,No,Yes,D,28,1991,6.17,0.34,3.23,1.35,40.03,3.26,1.22,0.19,0.33,10.85,-0.08,-0.04,0.09,0.59,0.63,0.19,-0.16,-0.18,13.13,18.11,72.01,187.21,31.56,9.09,11.32,79.61,2.65,4.1,63.91,1.02,1.23,74.99,-0.05,-0.04,-0.04,0.58,0.91,-0.01,-0.09,0.99,0.13,0.07,0.04,0.25,0.02,0.08,0.53,0.05,0.57,12.17,2.12,17.54,1,6.04,5.15,0.84,0.06,-0.04,0.86,0.51,0.62,1.94,-0.07,,,,,,,,,,,,,,,,,,,
A. Kyarikunda,Lefghau,FWMF,Deranged Defenders,No,No,D,29,1990,9.25,0.27,2.49,0.6,26.17,2.47,0.76,0.05,0.34,19.42,-0.06,0.08,0.01,0.13,0.16,0,0.03,0.09,31.97,39.44,80.91,557.03,135.41,14.89,17.3,85.45,13.48,15.4,85.97,3.02,4.94,60.97,0.04,0.27,-0.11,1.46,1.92,1.83,0.45,3.6,1,0.53,0.36,0.51,0.09,0.62,2.19,23.86,1.66,19.89,2.94,14.83,6.91,9.54,3.4,0.98,0.1,0,1.03,0.75,1.81,0.44,0.03,,,,,,,,,,,,,,,,,,,
M. Mangena,Sobianitedrucy,FWMF,Deranged Defenders,No,Yes,D,27,1992,22.48,0.18,2.6,0.89,38.63,2.64,1.03,0.11,0.19,21.18,0.16,-0.08,-0.06,0.21,0.14,-0.01,-0.05,-0.02,36.27,45.25,80.11,631.49,168.82,17.81,19.41,91.79,13.3,15.82,84.25,4.53,7.86,57.46,0.35,0.12,-0.02,2.24,2.44,2.14,0.91,4.32,0.84,0.59,0.17,0.36,0.33,0.24,0.73,25.07,0.57,10.54,2.49,23.82,2.39,5.25,2.89,0.58,-0.04,0.02,0.61,0.2,1.01,0.06,0.07,,,,,,,,,,,,,,,,,,,
J. Ashknaziy,Lefghau,GK,Deranged Defenders,No,No,D,26,1992,33.36,-0.08,0.05,-0.07,,-0.06,-0.03,,,,0.02,0.07,0,-0.09,0.03,,0.05,-0.05,22.66,29.37,76.7,590.1,369.24,7.14,7.16,99.54,8.22,8.27,97.85,7,13.54,51.54,-0.07,-0.02,-0.09,-0.07,0.15,0.06,0.02,0.03,-0.05,0.05,-0.04,-0.02,-0.06,-0.07,-0.02,-0.02,0.05,0.15,0.03,16.77,0.15,-0.06,-0.06,-0.09,0.01,0.06,0.05,0.03,-0.04,0.12,0.14,34.04,34.08,2997.08,33.39,2.36,2.3,6.52,4.61,69.54,0.15,0.29,0.55,0.01,5.91,0.32,0.27,-0.02,-0.02,16.68
G. Nakandi,Sobianitedrucy,GK,Deranged Defenders,No,Yes,D,29,1990,4.66,0.03,0.01,0.08,,0.07,0.08,,,,-0.07,-0.03,-0.01,0.05,-0.01,,0.06,0.07,23.1,32.68,71.12,613.97,380.33,7.35,7.51,100.07,8.28,8.2,99.91,7.41,16.52,44.83,-0.07,0.01,-0.05,-0.03,-0.02,-0.09,-0.01,0.05,0.07,-0.07,0.08,-0.04,0.09,0.07,0.07,,-0.07,0.44,0.02,-0.07,0.43,-0.04,-0.09,0.04,0,-0.03,0.08,0.06,0.05,-0.03,0.08,5.04,3.93,422.94,4.68,1.98,1.92,5.65,4.02,70.47,0.62,-0.03,0.12,0.17,25,0.12,0.23,0.02,-0.05,0.08
U. Nambuya,Galamily,MF,Deranged Defenders,Yes,No,D,24,1994,15.25,0.21,2.15,0.86,38.23,2.3,0.86,0.13,0.18,15.84,-0.07,-0.06,-0.06,0.16,0.23,0.17,0.01,-0.03,37.54,46.05,81.54,639.84,174.82,17.97,20.14,88.92,14.44,17.25,83.99,3.93,6.32,62.19,0.17,0.18,-0.07,1,3.6,0.97,0.32,3.93,1.61,1.25,0.95,0.68,0.07,0.64,1.83,40.77,1,20.02,5.33,26.87,7.65,8.84,3.6,2.04,0.09,0,2.03,0.29,1.74,0.97,0.04,,,,,,,,,,,,,,,,,,,
L. Morin,Ingre,MF,Deranged Defenders,No,No,D,28,1991,22.31,-0.1,1.14,0.25,26.93,1.26,0.22,0.03,0.07,25.45,-0.04,0.08,-0.08,0.01,0.02,-0.01,-0.01,0.06,42.37,53.82,78.65,910.68,299.92,15.12,17.65,86.32,17.36,20.42,84.36,9.22,13.88,67.17,-0.01,0.09,0.03,0.93,4.48,1.35,0.04,6.15,2.78,2,1.48,0.81,0.36,1.39,3.26,40.8,1.93,19.5,5.74,29.15,8.7,8.88,2.12,1.77,0.62,-0.03,1.26,1.16,3.8,1.93,0.08,,,,,,,,,,,,,,,,,,,
L. Nakuya,Lenia Gerdanho,MF,Deranged Defenders,No,No,D,26,1992,1.39,0.07,0.01,0.06,,-0.1,0.06,,,,-0.08,0.02,0.09,0.06,0.06,,-0.1,-0.07,40.73,47.13,86.46,705.68,123.62,17.84,19.34,92.58,18.65,19.37,96.24,4.31,6.36,66.71,-0.04,0.08,-0.02,-0.08,0.73,0.08,-0.07,0.69,0.78,0.05,0.65,0.09,-0.05,0.08,0.81,-0.02,0.78,10.71,0.05,-0.04,3.55,5.78,1.36,1.33,0.66,-0.07,0.71,2.2,2.88,0.81,-0.02,,,,,,,,,,,,,,,,,,,
O. Fekete,Saintu,MF,Deranged Defenders,No,No,D,27,1992,18.4,0.02,1.07,0.45,39.99,1.08,0.33,0.13,0.17,20.68,-0.04,-0.05,-0.1,0.07,0.2,0.09,-0.09,-0.1,32.16,40.22,79.48,570.28,144.67,14.8,16.5,89.42,12.36,14.84,83.52,3.92,6.58,58.73,0.1,0.04,0.03,0.94,3.29,0.84,0.25,2.9,1.78,1.12,0.89,0.69,0.22,0.49,3.05,18.2,2.46,21.98,5.06,22.92,9.48,9.54,2.85,2.3,0.52,0.05,1.79,0.99,2.8,1.36,0.13,,,,,,,,,,,,,,,,,,,
H. Kisembo,Sobianitedrucy,MF,Deranged Defenders,No,Yes,D,24,1995,23.83,0.01,0.7,0.25,38.99,0.77,0.32,0.03,-0.02,24.51,0.05,0.04,0.08,0.04,0.08,0.12,0.08,-0.05,45.88,53.02,86.22,967.73,260.35,15.05,16.74,90.45,20.7,22.93,89.83,9.49,12.35,77.01,0.25,0.08,0.06,1.7,4.34,1.22,0.43,4.86,1.65,1.07,0.96,0.54,-0.02,0.43,2.79,18.24,2.33,15.22,4.04,26.14,6.7,6.47,2.12,1.66,0.19,0.17,1.45,0.85,2.36,1.11,0.11,,,,,,,,,,,,,,,,,,,
H. Valentini,Sobianitedrucy,MF,Deranged Defenders,No,Yes,D,23,1995,8.01,0.12,1.06,0.24,22.24,1.05,0.16,0.2,0.53,20.92,0.08,-0.03,-0.02,-0.02,0.07,0.05,0.14,0,28.03,36.97,75.63,570.47,126.5,11.99,14.61,82.12,10.98,13.9,78.37,4.94,7.32,67.84,0.09,0.08,0.15,1.05,1.3,0.68,0.13,2.6,2.43,1.45,1,1.41,-0.07,1.24,2.72,47.61,1.36,18.97,5.7,29.55,7.71,8.57,2.61,1.93,0.44,0.06,1.44,0.8,3.22,2.34,-0.07,,,,,,,,,,,,,,,,,,,
R. Kwakye,Sobianitedrucy,MF,Deranged Defenders,No,Yes,D,29,1990,10.71,0.08,1.11,0.29,16.68,1.21,0.25,-0.01,0.55,15.45,0.16,0.06,0.09,-0.01,0.11,0.06,0.06,-0.01,26.29,33.06,79.69,454.42,115.51,10.72,12.89,83.31,12.66,14.99,83.84,2.21,3.14,67.55,0.01,-0.01,0.05,0.44,2.61,0.64,0.25,2.41,1.63,1.06,0.65,0.67,0.23,0.74,2.79,26.67,1.99,19.23,4.43,22.7,8.74,6.95,3.72,1.8,0.45,-0.07,1.49,0.94,2.64,1.64,0.19,,,,,,,,,,,,,,,,,,,
T. Nasution,Bernepamar,MFFW,Deranged Defenders,No,Yes,D,28,1990,12.1,-0.01,1.03,0.3,30.83,1.07,0.4,0.17,0.32,21.15,0.04,-0.04,0.05,0.17,0.12,-0.03,0,0,27.59,33.02,83.36,454.29,80.6,13.85,15.55,88.83,10.17,12.31,81.92,2.8,3.21,84.57,0.24,0.17,0.03,1.27,1.24,0.55,-0.01,1.69,2.75,1.81,1.37,0.99,0.45,0.56,1.9,30.5,1.37,23.65,5.99,25.25,6.43,11.4,5.72,1.22,0.21,0.01,0.98,0.9,3.76,0.98,0.07,,,,,,,,,,,,,,,,,,,
B. Nakandi,Sobianitedrucy,MFFW,Deranged Defenders,No,Yes,D,27,1991,10.49,0.15,2.49,0.8,34.55,2.48,0.79,0.04,0.3,17.81,0.01,-0.02,-0.08,0.16,0.18,0.12,-0.08,0.1,37.22,49.28,75.62,661.64,197.86,16.68,20.09,83.34,14.29,17.47,81.45,4.39,7.98,55.93,0.31,0.32,0.11,3.09,3.63,2.48,0.62,5.47,1,0.75,0.25,0.69,0.16,0.43,1.34,30.78,0.83,10.88,2.33,21.26,2.91,4.78,2.94,0.54,0.01,-0.04,0.57,0.25,1.22,0.16,0.1,,,,,,,,,,,,,,,,,,,
K. Driciru,Sobianitedrucy,MFFW,Deranged Defenders,No,Yes,D,30,1988,27.07,0.45,2.76,0.73,30.56,2.72,0.8,0,0.28,20.38,0.37,0.29,0.36,0.57,0.25,0.02,-0.05,-0.03,25.13,33.54,75.01,412.1,102.07,13.51,16.16,84.45,7.89,10.54,76.09,2.59,4.29,59.3,0.02,0.14,0.01,1.25,2.26,0.84,0.24,2.55,0.93,0.57,0.36,0.48,0.23,0.18,1.81,11.84,1.64,15.27,3.48,23.02,4.36,7.01,3.93,1.12,0.39,0,0.72,0.57,1.56,0.77,0.04,,,,,,,,,,,,,,,,,,,
E. Poto?nik,Biarizea,DF,Fighting Clippers,No,No,D,28,1991,2.89,0.03,0.64,-0.09,0.08,0.71,0.1,-0.04,,25.24,-0.07,0.05,0.05,-0.08,0.06,0.08,-0.01,-0.06,50.75,62.06,81.51,925.32,209.98,23.62,25.71,91.69,18.69,23.28,79.97,6.7,11.18,61.22,-0.06,0.17,0.03,0.68,1.42,1.52,1.01,3.22,2.84,1.78,1.11,1.49,0.37,1.84,2.12,83.24,0.29,10.64,2.18,20.01,4.64,4.37,1.72,2.84,0.37,-0.08,2.45,1.15,3.9,0.32,-0.03,,,,,,,,,,,,,,,,,,,
X. Boyko,Coastpa Barleslands,DF,Fighting Clippers,No,No,D,28,1991,23.41,0.05,0.64,0.08,26.6,0.66,0.18,0.03,0.07,12.25,0.07,-0.05,0.09,0.08,0.14,0,0.02,-0.12,65.02,70.66,92.15,1347.84,495.89,21.84,22.77,96.23,31.65,33.47,94.53,10.77,13.49,80.09,0.07,0.1,0.01,0.4,6.22,0.35,0.09,4.56,2.69,1.75,1.33,1.01,0.16,0.86,1.36,66.63,0.46,10.62,3.78,35.92,5.87,4.14,0.38,1.66,0.82,0.03,0.95,0.81,3.31,3.85,0.09,,,,,,,,,,,,,,,,,,,
Z. Chavula,Greri Landmoslands,DF,Fighting Clippers,Yes,Yes,D,28,1991,21.86,0.02,1.39,0.4,31.34,1.52,0.43,0.08,-0.04,26.52,0.18,-0.03,-0.01,0,0.03,0,-0.05,0,75.81,91.42,82.8,1290.76,445.99,37.9,40.5,93.04,30.34,34.74,87.38,6.31,12.28,51.43,0.17,0.16,-0.14,1.5,5.3,2.1,0.82,6.21,1.68,1.07,0.79,0.59,0.34,0.46,1.34,44.48,0.63,10.49,3.63,35.43,4.22,3.94,2.53,2.06,0.33,0.06,1.75,0.63,2.35,2.16,0.05,,,,,,,,,,,,,,,,,,,
X. Williams,Moaithe,DF,Fighting Clippers,Yes,No,D,25,1994,16.51,0.05,0.4,0.21,60,0.29,0.11,0.13,0.34,19.46,0,-0.08,0.07,0.1,-0.05,0.04,-0.06,0.04,66.56,78.75,84.43,1110.75,392.94,34.63,37.33,92.89,25.7,29.49,87.35,5.1,8.95,57.45,0.21,0,0.07,1.11,5.04,1.14,0.36,6.29,1.42,0.96,0.76,0.52,0,0.52,1.33,39.05,0.94,10,3.22,31.67,4.03,4.13,1.91,2.01,0.22,0.07,1.61,0.53,1.98,2,-0.04,,,,,,,,,,,,,,,,,,,
L. Schubert,Pierrema,DF,Fighting Clippers,No,No,D,28,1991,4.21,-0.04,0.93,0.4,49.99,0.89,0.5,0.06,0,25.45,0.23,-0.04,0.08,0,-0.04,0.03,0,-0.08,57.02,71.32,79.95,991.13,324,25.12,27.96,90.51,24.58,29.58,83.11,5.65,12.02,47.08,0.15,0.32,-0.04,1.81,3.12,1.21,0.77,4.67,1.95,0.64,0.53,1.11,0.26,0.48,0.87,50.03,0.49,10.03,2.35,23.87,2.11,5.95,1.96,2.09,0.4,-0.09,1.72,1.04,2.78,1.53,0.09,,,,,,,,,,,,,,,,,,,
H. Zare,Rarita,DF,Fighting Clippers,No,No,D,28,1991,24.29,0.14,0.76,0.41,47.09,0.62,0.43,0.16,0.41,9.28,-0.04,-0.09,0.07,0.09,0.01,0.11,0,0.06,56.51,60.97,92.85,1207.03,300.83,16.76,17.51,95.32,29.28,30.68,94.95,10.33,12.15,84.59,0,-0.04,-0.07,0.11,1.96,0.09,-0.03,2.26,1.36,0.76,0.84,0.45,0.03,0.67,1.18,53.62,0.52,6.49,2.18,33.5,3.66,2.86,0.08,1.48,0.69,-0.03,0.8,0.68,1.94,4.23,0.14,,,,,,,,,,,,,,,,,,,
