Player,Nation,,Pos,Squad,Tournament,In/Out,League,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1.3,PPA,CrsPA,Prog,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Performance PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Top5
Z. Mugeni,Galamily,,DF,Blue Jaguars,Yes,Yes,C,28,1992,17.64,-0.04,0.58,0.25,40.01,0.52,0.33,0.02,-0.09,10.84,0.03,0.08,0.05,0.08,0.11,0.17,-0.06,-0.15,40.16,54.47,73.62,714.07,281.1,16.54,20.13,82.88,19.13,23.9,79.81,3.74,7.84,47.5,0.29,0.19,-0.06,1.37,3.04,1.8,0.87,4.98,1.2,0.84,0.47,0.3,0.39,0.53,1.39,34.78,0.92,8.1,2.31,27.77,2.36,3.2,2.6,0.98,0.16,0.09,1.01,0.95,2.22,1.88,-0.06, , , , , , , , , , , , , , , , , , , ,No
O. Ortega,Imaar Vircoand,,MF,Horrible Flames,No,No,C,21,1998,6.47,-0.09,0.33,0.09,-0.06,0.37,0.04,0.03,,19.66,0.04,-0.05,-0.01,-0.07,0.08,0.14,0.07,-0.09,57.99,66.96,86.8,969.98,252.52,31.34,33.65,93.57,19.42,23.05,84.53,6.12,8.1,74.9,-0.05,0.18,-0.08,1.44,4.29,0.61,0.06,4.27,4.61,2.65,2.2,1.94,0.34,1.17,3.67,33.26,2.55,25.6,8.01,31.38,7.45,15.08,2.99,2.89,-0.05,0.09,2.9,2.32,6.86,1.68,0.07, , , , , , , , , , , , , , , , , , , ,No
K. Jakobsson,Galamily,,FW,Horrible Flames,Yes,Yes,C,24,1996,20.8,0.45,2.8,1.07,40.37,2.83,1.18,0.26,0.48,11.21,-0.02,0,0.03,0.39,0.52,0.08,0.03,-0.11,15.04,20.78,72.6,208.97,28.57,8.7,11.27,76.82,4.57,6.31,71.24,0.8,0.98,71.36,0.05,0.12,-0.03,1.03,0.5,0.16,0.08,0.73,0.62,0.48,-0.01,0.28,0.38,0.01,0.4,14.33,0.24,11.06,2.87,26.22,0.29,4.19,6.66,0.43,0.33,0.07,0.13,0.09,0.77,0.75,-0.07, , , , , , , , , , , , , , , , , , , ,No
Y. Thin,Northern Namemo Laand,,MF,Horrible Flames,No,No,C,31,1989,18.55,-0.03,0.31,0.11,49.96,0.28,0.02,0.09,0.1,9.7,0,-0.03,-0.08,0.02,0.09,0.14,-0.1,-0.14,54.28,62.61,86.51,981.27,293.25,22.91,24.95,91.43,24.31,26.56,91.78,5.99,8.99,66.93,-0.06,0.11,0.02,0.82,5.93,0.88,0.04,5.51,2.28,1.6,0.95,1.01,0.23,0.73,2.76,29.93,1.92,21.24,6.91,32.61,7.97,10.91,2.23,1.84,0.15,0,1.71,1.42,3.77,1.49,-0.09, , , , , , , , , , , , , , , , , , , ,No
C. Ndiweni,Galamily,1,DF,Mean Trolls,No,Yes,C,32,1988,3.32,-0.04,0.08,0.1,,0.07,-0.01,,,,0.03,-0.09,0.06,-0.01,0,,-0.01,0.07,35.23,40.56,86.92,718.86,256.8,8.78,10.38,85.71,21.58,22.49,96.16,4.72,7.73,61.42,0.05,-0.08,0.06,-0.04,1.47,0.23,0.32,2.26,1.55,0.81,0.25,1.2,-0.04,0.39,0.67,49.97,0.28,7.69,2.98,38.41,3.27,4.35,0.09,1.47,1.18,0.27,0.32,0.22,1.69,3.61,-0.05, , , , , , , , , , , , , , , , , , , ,No
U. He,Galamily,1,MF,Mean Trolls,No,Yes,C,30,1989,2.98,-0.02,0.41,-0.07,-0.03,0.39,-0.1,0.02,,14.07,-0.08,-0.08,0.02,-0.01,0.01,0.23,-0.13,-0.04,32.75,47.91,68.2,540.37,129.61,15.22,21.97,69.78,11.09,14.33,76.65,3.9,6.61,60.05,-0.01,0.03,0.02,0.43,3.31,-0.03,-0.06,2.91,1.24,0.65,0.7,0.73,0.01,-0.06,2.03,-0.02,1.98,30.74,8.4,27.21,12.02,15.35,3.29,0.93,0.09,-0.06,1.08,2.6,3.95,1.94,-0.01, , , , , , , , , , , , , , , , , , , ,No
L. Rahimi,Galamily,,MF,Weak Chargers,Yes,Yes,C,29,1990,21,0.12,1.36,0.2,22.24,1.2,0.29,0.11,0.15,22.5,0,0.02,-0.07,0.16,0.06,0,-0.1,0,34.07,47.08,72.47,738.74,180.58,12.05,14.99,80.91,13.45,17.04,79.63,7.85,12.45,63.63,0.3,0.22,-0.07,1.86,2.65,1.25,0.25,3.74,1.76,1.11,0.81,0.74,0.26,0.46,1.58,25.65,1.16,19.32,6.2,32.2,4.74,10.46,4.15,1.58,0.06,-0.05,1.57,1.48,3.28,1.08,0.09, , , , , , , , , , , , , , , , , , , ,No
Y. Atoo,Galamily,,MF,Mighty Monkeys,Yes,Yes,D,24,1996,26.72,0.13,1.56,0.43,27.49,1.55,0.43,0.17,0.59,16.86,0.01,-0.07,0.01,0.13,0.22,0.18,0.08,0.03,632.06,914.07,69.04,11148.93,3077.07,291.07,352.91,82.37,247.04,336.95,73.3,77,167.09,46.04,2.93,3.15,-0.11,31.06,45.95,23.91,8.02,63.9,0.89,0.39,0.42,0.38,0.1,0.29,1.38,25.07,0.96,14.06,3.12,22.17,3.63,6.04,4.45,1.52,0.09,-0.03,1.39,0.62,1.48,1.11,0, , , , , , , , , , , , , , , , , , , ,No
C. Msukwa,Pierrema,,DF,Little Lollipops,No,No,C,25,1995,20.19,0.13,1.09,0.26,33.29,1.05,0.4,0.08,0.46,14.67,-0.06,-0.02,0.12,0.15,0.07,0.1,-0.01,0.04,49.97,60.18,83.12,906.9,359.51,21.57,23.87,90.58,22.81,26.28,87.17,4.9,8.04,61.62,-0.02,0.09,-0.08,0.37,2.88,0.69,0.27,3.59,2.24,1.21,1.48,0.62,0.22,1.41,2.54,57.61,1.12,12.77,3.68,28.64,6.32,4.9,1.44,2.69,0.43,-0.01,2.25,3.13,5.39,5.41,0.07, , , , , , , , , , , , , , , , , , , ,No
U. Nambuya,Galamily,,MFFW,Red Rangers,Yes,Yes,D,25,1994,30.63,0.26,1.36,0.47,34.88,1.44,0.39,0.23,0.42,15.24,0.05,-0.07,0.06,0.19,0.21,0.1,0.05,-0.01,1026.93,1313.1,78.3,17705.04,4288.91,504.07,606.09,83.13,399.95,486.07,82.24,104.1,155.02,67.04,2.96,2.81,0.17,23.94,113.96,28.98,4.06,135.92,1.23,0.98,0.42,0.51,0.28,0.44,1.52,25.55,1.13,17.49,4.85,27.98,4.11,8.71,4.42,1.51,0.31,0.03,1.34,0.64,1.87,1.2,0.11, , , , , , , , , , , , , , , , , , , ,No
U. Nishimura,Galamily,,GK,Running Bigfoots,Yes,Yes,E,31,1989,5.04,-0.07,-0.03,-0.05,,0.03,0.06,,,,-0.02,0.07,-0.07,0.04,-0.02,,0.09,-0.02,23.95,29.15,82.25,608.51,319.96,5.6,5.6,99.96,11.76,12.26,96.7,6.41,11.08,58.3,-0.03,0.02,0,-0.01,0.02,0.04,0.05,0.08,-0.09,0.09,-0.07,0.07,-0.03,-0.04,0.12,-0.09,0.14,-0.06,-0.03,,-0.02,0.04,0.01,-0.1,0.03,0.05,0,-0.07,-0.09,0.08,0.05,4.92,5.03,449.9,4.99,1.01,1.05,2.75,1.81,64.37,0.67,-0.06,0.48,0.48,40.03,-0.02,0,-0.06,0.08,,No
I. Y?ld?r?m,Galamily,,FW,Educated Avengers,Yes,Yes,RFL,28,1992,15.26,0.27,2.33,0.56,25.71,2.37,0.66,0.08,0.36,13.31,-0.07,-0.07,0.01,0.31,0.41,0.15,-0.26,-0.24,12.7,17.58,72.52,160.01,24.63,8.67,11.21,76.19,2.68,3.59,77.72,0.54,0.82,64.23,0.05,0.09,0.01,0.99,0.38,0.54,0.04,0.94,0.68,0.46,0.2,0.14,0.28,0.15,0.54,11.07,0.53,18.47,5.15,28.07,0.72,6.88,11,0.92,0.15,-0.06,1,0.38,0.96,0.45,-0.02, , , , , , , , , , , , , , , , , , , ,No
U. Nishimura,Galamily,,GK,Running Bigfoots,Yes,Yes,E,31,1989,5.04,-0.07,-0.03,-0.05,,0.03,0.06,,,,-0.02,0.07,-0.07,0.04,-0.02,,0.09,-0.02,23.95,29.15,82.25,608.51,319.96,5.6,5.6,99.96,11.76,12.26,96.7,6.41,11.08,58.3,-0.03,0.02,0,-0.01,0.02,0.04,0.05,0.08,-0.09,0.09,-0.07,0.07,-0.03,-0.04,0.12,-0.09,0.14,-0.06,-0.03,,-0.02,0.04,0.01,-0.1,0.03,0.05,0,-0.07,-0.09,0.08,0.05,4.92,5.03,449.9,4.99,1.01,1.05,2.75,1.81,64.37,0.67,-0.06,0.48,0.48,40.03,-0.02,0,-0.06,0.08,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q. Sam,Giumle Lizeibon,1,DF,Solemn Cougars,No,Yes,A,34,1986,7.84,0.01,0.47,0.07,0.08,0.45,-0.08,0.04,,26.45,0.02,0.07,0.01,0.06,-0.07,-0.01,-0.01,0.07,61.21,75.51,81.12,1165.1,449.07,26.12,29.47,89.04,27.95,32.88,85.25,7.11,11.89,59.17,0.03,0.08,0.05,0.1,5.43,0.33,0.05,4.16,1.99,1.1,1.74,0.14,0.19,0.59,1.85,35.69,1.18,11.1,2.97,26.35,6.72,3.48,0.87,2.06,0.44,0.13,1.49,1.59,3.52,3.89,0.05, , , , , , , , , , , , , , , , , , , ,No
O. Kembabazi,Giumle Lizeibon,1,DF,Jumping Beans,No,Yes,B,20,1999,5.79,0.07,0.05,-0.03,,-0.1,-0.07,,,,0.03,0.06,-0.04,-0.02,-0.09,,0.06,-0.1,50.46,60.23,84.01,1194.83,421.99,12.51,13.32,93.3,26.06,28.36,91.41,11.15,16.7,67.32,-0.06,-0.02,-0.03,0.25,5.4,0.01,0.1,5.27,2.21,0.97,1.49,0.65,0.1,0.93,1.84,45.55,1.03,7.32,2.08,28.67,4.14,2.83,0.55,1.27,0.28,0.01,0.89,1.03,3.06,4.67,-0.06, , , , , , , , , , , , , , , , , , , ,No
M. Li,Iverde,,FWDF,Little Lollipops,No,No,C,32,1988,1.16,0.04,0.08,-0.02,,-0.04,-0.05,,,,0.01,-0.05,0,0,-0.1,,-0.03,-0.07,29.98,45.41,66.09,388.21,122.77,16.36,21.88,74.92,9.14,13.51,66.76,0.9,4.54,20.02,0,0.16,-0.24,0.87,0.81,0.83,-0.02,2.68,1.89,0.83,0.92,0.99,0.05,0.92,2.68,33.35,1.89,19.91,7.25,36.5,4.49,9.11,6.28,1.84,0,0.02,1.73,0.08,1.76,0.08,-0.05, , , , , , , , , , , , , , , , , , , ,No
E. Kaweesi,Giumle Lizeibon,1,FW,Mean Poets,No,Yes,B,23,1996,10.64,0.45,2.92,0.95,35.58,2.82,1.08,0.02,0.09,18.57,0.36,0.2,0.32,0.43,0.37,0.2,-0.19,-0.13,12.22,20.01,61.6,159.71,21.89,8.29,10.72,76.53,2.75,4.86,55.84,0.36,1.08,33.37,0,0.1,0.03,0.37,0.76,0.28,0.02,0.77,0.75,0.71,0.14,0.46,0.31,0.24,0.47,39.99,0.23,13.5,3.12,22.96,0.66,5.97,6.7,0.78,-0.1,0,0.85,0.28,0.94,0.65,0.06, , , , , , , , , , , , , , , , , , , ,No
J. Irawan,Giumle Lizeibon,1,DF,Weak Blimps,No,Yes,B,19,2001,16.48,0.13,0.44,0.09,12.51,0.58,0.15,0.12,1.05,17.74,-0.09,-0.09,-0.05,0.05,0.08,0.08,0,0.05,59.34,67.38,88.17,1190.86,413.19,20.43,22.08,92.49,31.2,33.67,92.81,7.34,10.7,69.64,-0.03,0.01,0.05,0.26,5.62,0.37,0.12,4.54,1.76,0.7,1.22,0.38,0.23,0.88,1.54,57.68,0.74,10.29,3.05,29.3,5.57,3.48,1.22,1.3,0.45,0.05,0.7,1.12,3.01,2.97,-0.02, , , , , , , , , , , , , , , , , , , ,No
P. Konadu,Giumle Lizeibon,1,DF,Awkward Trailblazers,No,Yes,C,22,1998,30.89,-0.08,0.22,-0.04,12.6,0.24,0.05,-0.03,0.03,25.94,0.02,-0.07,0.06,0.01,0.01,0.11,-0.04,-0.09,43.97,54.25,81.2,1040.58,360.95,12.33,13.54,91.54,20.89,23.26,90.16,10.33,16.43,63.49,0.05,0.1,0,0.22,4.16,0.34,0.06,3.48,2.24,1.31,1.3,0.87,0.15,0.89,2.02,47.52,1.09,11.08,3.11,28.84,6.48,4.12,0.58,2.12,0.58,-0.01,1.64,1.94,4.2,4.66,0.06, , , , , , , , , , , , , , , , , , , ,No
J. Nyondo,Giumle Lizeibon,1,FWMF,Awkward Trailblazers,No,Yes,C,20,2000,13.12,-0.07,1.47,0.24,16.62,1.43,0.31,0.04,-0.02,21.99,0.09,-0.1,0.02,-0.03,0.01,-0.05,-0.08,-0.1,25.93,36.1,71.82,392.17,138.4,13.85,16.63,82.54,9.51,12.94,73.93,1.63,3.36,48.82,0.15,0.07,0.24,1.04,2.9,1.11,0.25,4.52,2.08,1.57,0.78,0.62,0.69,0.74,2.59,26.58,2,26.38,5.71,22.02,6.66,12.77,6.91,2.06,0.07,0,1.84,1.27,3.3,0.33,0.02, , , , , , , , , , , , , , , , , , , ,No
F. Ashaba,Giumle Lizeibon,1,DF,Blue Jaguars,No,Yes,C,23,1997,23.58,0,0.44,0.02,20.05,0.45,0.11,-0.08,0.02,20.59,0.14,-0.06,0.02,-0.01,0,0.04,-0.09,0,49.97,62.26,80.17,1050.69,374.11,15.56,17.69,88.27,26.32,28.9,90.97,7.66,13.54,56.52,-0.08,-0.07,-0.05,0.52,4.77,0.61,0.25,5.09,2.7,1.34,1.49,0.96,0.25,1.09,2.23,52.84,0.94,13.56,4.41,31.98,6.81,5.23,1.58,2.07,0.46,-0.02,1.8,1.18,3.96,4.16,0.1, , , , , , , , , , , , , , , , , , , ,No
Q. Roche,Giumle Lizeibon,,MFDF,Blue Jaguars,Yes,Yes,C,24,1995,20.97,0.1,1,0.39,44.99,0.96,0.5,0.16,0.16,19.71,-0.06,-0.08,0,0.03,0.12,0.08,0.09,0.03,58,67.63,85.84,1291.29,389.68,17.27,19.81,86.71,27.4,30.04,91.42,12.52,15.55,81.08,0.02,0.16,-0.03,0.75,5.85,1.42,0.24,6.36,1.77,1.3,1.12,0.8,-0.04,0.52,2.27,18.87,1.93,16.14,4.87,30.38,5.42,8.04,2.67,2.39,0.38,0.05,2,2.25,4.01,2.53,0.09, , , , , , , , , , , , , , , , , , , ,No
M. Omony,Giumle Lizeibon,,MFFW,Blue Jaguars,Yes,Yes,C,20,1999,26.23,0.2,2.37,0.83,33.94,2.36,0.75,0.19,0.23,15.35,-0.05,-0.01,-0.08,0.2,0.15,0.05,0.03,-0.01,27.54,36.2,76.02,460.68,123.06,14.47,17.45,82.31,9.37,11.83,78.23,2.83,4.66,62.47,0.11,0.12,0.06,1.24,2.32,1.21,0.24,3.77,2.03,1.36,0.75,0.78,0.43,0.57,2.19,23.28,1.83,21.74,6.97,31.95,4.53,10.68,6.46,1.78,0.28,-0.09,1.39,0.67,2.67,0.7,-0.04, , , , , , , , , , , , , , , , , , , ,No
X. Mulder,Giumle Lizeibon,1,DF,Fiery Governors,No,Yes,C,26,1994,18.62,0,0.22,0.16,33.39,0.27,0.1,0.25,0.43,23.04,0.01,0.03,-0.07,0.01,0.03,0.14,0.13,0.06,20.22,31.63,63.61,382.67,184.09,9.28,10.9,83.86,6.91,10.83,63.9,3.46,6.98,48.2,0.21,0,-0.04,1.07,1.23,1.37,0.55,2.49,2.79,1.75,1.34,1.15,0.25,0.99,2.35,42.2,1.47,17.69,6.61,37.26,7.84,6.55,3.22,2.07,0.29,0.1,1.76,1.37,4,3.05,0.15, , , , , , , , , , , , , , , , , , , ,No
I. Peeters,Giumle Lizeibon,,FW,Fiery Governors,Yes,Yes,C,28,1992,20.52,0.29,2.6,1.03,38.58,2.58,0.91,0.09,0.19,15.94,-0.05,-0.08,-0.06,0.3,0.34,0.19,-0.01,-0.04,12.92,20.63,62.63,202.12,39.26,6.67,9.94,67.19,4.32,6.65,64.48,1.15,2.33,53.28,0.08,0.05,-0.2,0.98,0.55,0.69,0.29,1.42,1.66,1,0.42,0.66,0.63,0.32,1.04,35.02,0.62,21.02,5.1,24.72,1.95,10.03,8.9,1.17,0.06,0.03,1.1,0.4,2.18,0.62,0, , , , , , , , , , , , , , , , , , , ,No
B. Munemo,Giumle Lizeibon,1,MFFW,Fiery Governors,No,Yes,C,26,1993,5.97,0.59,1.6,0.67,44.42,1.57,0.68,0.42,0.79,15.11,0.03,-0.09,-0.01,0.18,0.31,0.14,0.14,0.29,45.41,65.54,69.49,851.21,280.44,20.77,24.88,83.2,17.26,24.59,70.2,6.8,14.25,48.12,0.03,0.21,-0.23,1.7,4.07,1.42,0.73,5.27,2.31,1.69,0.84,0.93,0.55,0.61,2.66,25.05,1.93,16.21,5.53,34.08,4.76,7.07,4.31,1.46,0.02,-0.08,1.53,1.8,4.25,1.12,-0.01, , , , , , , , , , , , , , , , , , , ,No
Y. Takeuchi,Giumle Lizeibon,,DF,Horrible Flames,Yes,Yes,C,29,1991,12.62,0.18,0.27,0.07,66.63,0.32,0.07,0.28,0.41,16.17,0.07,-0.01,-0.02,0,0.1,0.14,-0.01,0.11,74.83,83.93,89.06,1629.35,504.64,22.86,24.73,91.99,36.4,39.33,92.15,15.08,18.43,81.11,-0.03,-0.01,-0.1,0.58,6.43,0.32,-0.01,5.65,1.37,0.85,0.47,0.6,0.22,0.45,0.97,50.01,0.55,9.8,3.81,39.82,3.69,4.75,1.37,1.77,0.55,-0.06,1.25,1.24,2.6,3.85,-0.05, , , , , , , , , , , , , , , , , , , ,No
L. Abbasi,Giumle Lizeibon,,MF,Horrible Flames,Yes,Yes,C,32,1988,11.97,0.2,0.68,0.39,57.06,0.55,0.36,0.27,0.44,14.69,0.04,0.08,0.09,0.14,0.2,0.21,0.02,0.02,48.71,56.08,86.78,928.12,200.83,20.32,22.33,90.66,19.22,21.22,90.6,8.08,10.38,77.37,-0.05,-0.04,-0.11,0.61,4.51,0.49,0.05,4.64,3.96,2.43,1.57,2.12,0.34,1.39,2.89,47.13,1.45,16.58,7,41.91,4.81,9.72,2.13,1.74,-0.09,0.01,1.72,1.44,5.21,1.62,0.08, , , , , , , , , , , , , , , , , , , ,No
E. Nabaasa,Giumle Lizeibon,,DF,Little Lollipops,Yes,Yes,C,27,1992,30.79,0.1,0.68,0.19,29.17,0.74,0.23,0.07,0.26,15.31,-0.06,-0.09,0.06,0.03,0.08,0.13,0.04,0.04,41.86,55.36,75.57,734.92,315.56,19.26,21.91,88.02,17.36,22.27,78.18,4.43,8.6,50.6,0.12,0.14,-0.08,1.17,3.21,1.08,0.54,4.76,1.94,1.34,0.78,0.76,0.27,0.78,2.32,38.63,1.35,14.39,4.41,30.82,4.99,6.33,3.12,2.44,0.21,0,2.25,1.25,3.18,2.92,0.12, , , , , , , , , , , , , , , , , , , ,No
Z. Testa,Giumle Lizeibon,,DFFW,Little Lollipops,Yes,Yes,C,24,1996,13.83,0.1,1.1,0.29,24.92,1.22,0.26,0.18,0.4,16.96,0.07,-0.01,0.09,0.07,0.21,0.22,0.03,-0.07,32.07,42.09,76.18,532.99,148,16.87,19.53,86.57,11.26,15.01,74.39,3.13,5.84,54.96,0.06,0.16,-0.16,1.08,1.96,0.73,0.19,2.28,1.37,0.71,0.63,0.4,0.21,0.58,1.49,39.94,0.8,16.13,4.01,25.08,4.92,6.93,4.31,1.93,0.12,0.04,1.91,1.27,2.64,1.21,-0.02, , , , , , , , , , , , , , , , , , , ,No
M. Bonnet,Giumle Lizeibon,1,MFFW,Little Lollipops,No,Yes,C,21,1999,15.2,0.13,1.02,0.42,43.84,0.96,0.46,0.27,0.43,14.69,0.1,0.06,-0.03,0.04,0.13,0.19,0.14,0.02,27.94,36.78,76.38,398.46,97.45,16.89,19.72,84.75,8.34,10.82,77.03,1.66,2.59,60.02,0.08,0.23,0,1.15,1.98,0.85,0.03,2.92,1.78,1.24,0.49,0.89,0.3,0.53,2.38,21.5,1.89,24.97,6.94,27.48,4.97,13.22,6.74,1.56,0.05,-0.1,1.5,0.87,2.63,0.33,0.02, , , , , , , , , , , , , , , , , , , ,No
N. Barukh,Giumle Lizeibon,,DF,Marvelous Anchors,Yes,Yes,C,24,1996,33.36,0.08,0.29,0.03,39.94,0.32,0.05,0.37,1.05,7.31,-0.02,0,-0.02,0.13,0,0.22,0.01,0.12,49.1,57.19,85.77,1189.45,311.24,7.95,8.89,88.33,29.62,31.32,94.66,11.21,16.23,69.81,0.06,-0.03,-0.06,0.02,2.32,0.11,0.06,2.28,0.76,0.43,0.49,0.24,0.01,0.14,0.72,18.92,0.56,6.24,1.84,30.52,3.43,2.55,0.19,1.71,0.7,-0.05,0.97,1.25,2.13,4.17,-0.06, , , , , , , , , , , , , , , , , , , ,No
Z. Matsui,Giumle Lizeibon,,FWMF,Mean Trolls,Yes,Yes,C,26,1994,9.34,0.17,1.36,0.3,23.05,1.31,0.36,0.13,0.41,18.51,0.04,0.05,-0.07,0.08,0.08,0.14,0.09,0.01,18.46,28.58,64.52,309.48,78.82,9.28,11.46,81.03,5.75,9.32,62.77,2.31,5.39,41.1,0.28,0.07,0.04,0.67,2.41,0.71,0.05,2.07,1.48,1.11,0.5,1.02,0.04,0.2,0.77,12.42,0.81,19.59,5.54,28.62,2.28,12.59,4.6,0.7,0.06,0.09,0.68,0.06,1.65,1.56,-0.04, , , , , , , , , , , , , , , , , , , ,No
X. Kawooya,Giumle Lizeibon,,DF,Punctual Archers,Yes,Yes,C,33,1987,28.57,0.06,0.31,0.14,33.21,0.39,0.18,0.19,0.34,24.07,0.05,-0.09,0.01,0.08,0,-0.03,-0.01,0.08,38.63,54.22,71.55,755.72,317.02,17.08,19.02,88.84,14.44,18.51,78.71,6.72,14.66,46.31,0.23,0.15,0.16,1.83,2.08,1.31,0.99,3.11,2.03,1.17,1.44,0.56,0.2,0.8,1.68,44.07,0.93,11.58,3.71,32.56,5.79,4.43,1.48,1.66,0.39,-0.09,1.36,2.07,4.02,3.16,0.08, , , , , , , , , , , , , , , , , , , ,No
N. Sembiring,Giumle Lizeibon,1,MF,Red Artichokes,No,Yes,C,28,1991,27.94,-0.04,0.64,0.13,27.89,0.7,0.27,0.07,0.28,25.29,0.02,0.03,0.04,-0.05,-0.04,0.02,0.09,0.1,28.37,35.59,80.01,580.59,126.69,9.86,12.17,81.44,12.91,15.28,85.3,5.27,7.11,73.14,0.1,0.15,-0.08,0.26,2.26,0.18,0.12,1.89,2.81,1.7,1.26,1.34,0.19,0.5,2.91,18.04,2.33,21.91,7.02,31.92,9.04,11.46,1.6,2.1,0.31,0.1,1.65,1.26,4.03,1.24,-0.06, , , , , , , , , , , , , , , , , , , ,No
C. Thomas,Giumle Lizeibon,1,MFFW,Red Artichokes,No,Yes,C,26,1993,7.5,0.13,1.32,0.6,40.1,1.34,0.55,0.2,0.18,15,0.07,0.05,0.09,0.28,0.23,0.13,-0.08,-0.13,16.69,25.25,65.66,261.24,107.42,9.04,11.16,80.02,4.92,7.7,65.54,1.77,3.91,43.25,0.05,0.17,0.1,1.22,0.98,0.61,0.05,2.85,1.56,0.74,0.58,0.69,0.16,0.18,1.42,18.25,1.24,18.75,5.2,28.11,5.43,7.93,5.41,1.21,0.05,0.1,1.04,0.99,2.56,2.48,0.06, , , , , , , , , , , , , , , , , , , ,No
C. O'Connor,Unicorporated Tiagascar,,FW,Marvelous Anchors,No,No,C,22,1998,16.5,0.3,2.38,1.19,47.4,2.35,1.2,0.03,0.28,13.65,0.07,-0.07,-0.01,0.32,0.31,0.21,-0.07,0.02,9.2,16.02,58.11,153.59,50.47,4.8,6.51,72.4,3.22,6.13,53.31,0.86,1.77,51.65,0.33,0.12,0.1,0.85,1.07,0.86,0.2,2.05,1.09,0.86,0.29,0.34,0.41,-0.03,1.05,5.24,1.11,22.62,5.86,25.46,1.89,9.75,11.08,1.88,0.38,-0.02,1.53,0.24,1.27,1.47,0.1, , , , , , , , , , , , , , , , , , , ,No
S. Achen,Giumle Lizeibon,1,GK,Silver Frogs,No,Yes,C,32,1987,1.98,-0.06,-0.1,0.05,,0.09,-0.08,,,,-0.07,0.06,-0.03,-0.01,0.01,,-0.03,0.05,25.54,35.41,71.85,825.6,506.55,3.46,3.59,99.91,13.02,13,99.93,9.04,18.51,48.56,-0.08,0.04,0.05,0.01,-0.01,0.06,0.03,0,-0.05,0.03,0.01,0.03,-0.09,0.09,0.54,0.09,0.52,0.58,-0.04,0.01,0.47,-0.06,-0.08,0.09,0.05,-0.02,-0.04,0.09,0.07,-0.02,-0.06,2.1,2.09,180.07,1.92,2.03,2.06,7.07,4.45,71.4,-0.09,0.48,0.44,0.03,0.03,-0.01,-0.1,0.03,-0.05,,No
L. Owori,Landli Blicporlip,,FWMF,Marvelous Anchors,No,No,C,20,1999,9.08,0.49,1.5,0.76,46.11,1.5,0.61,0.4,0.59,17.01,-0.06,-0.02,0.02,0.17,0.2,0.04,0.17,0.28,31.1,41.17,75.68,483.74,158.36,17.56,21.61,81.26,9.85,12.54,78.33,2.39,4.31,56.32,0.06,0.25,-0.25,1.71,2.72,2.09,0.38,4.89,0.99,0.45,0.11,0.65,0.25,0.36,1.9,16.75,1.56,28.53,6.33,21.91,4.29,15.86,8.3,1.27,0.04,0.03,1.21,1.2,2.08,1.29,-0.09, , , , , , , , , , , , , , , , , , , ,No
K. Lawino,Giumle Lizeibon,,MF,Silver Frogs,Yes,Yes,C,22,1997,29.1,0.15,1.61,0.13,8.3,1.72,0.21,0.13,0.56,20.95,0.07,-0.01,0.06,0.05,0.08,0.02,0.01,-0.08,33.82,43.86,77.16,644.66,166.85,13.43,16.46,80.8,15.23,18.06,83.97,4.8,7.61,62.33,0.06,0.15,-0.04,0.82,3.8,0.85,0.03,3.82,3.05,2.06,0.87,1.7,0.27,0.85,2.44,32.4,1.57,20.76,7.27,35.48,5.52,11.08,4.05,1.85,0.34,-0.06,1.56,1.54,4.7,1.74,0.03, , , , , , , , , , , , , , , , , , , ,No
